juzgado,month,count
2,1,5
2,2,7
2,3,16
2,4,21
2,5,28
2,6,35
2,7,38
2,8,48
2,9,61
2,10,72
2,11,80
3,1,83
3,2,149
3,3,218
3,4,279
3,5,339
3,6,404
3,7,465
3,8,536
3,9,600
3,10,654
3,11,722
4,1,11
4,2,20
4,3,28
4,4,38
4,5,45
4,6,61
4,7,72
4,8,79
4,9,89
4,10,100
4,11,109
5,1,0
5,2,0
5,3,0
5,4,1
5,5,2
5,6,4
5,7,4
5,8,6
5,9,7
5,10,12
5,11,13
6,1,0
6,2,0
6,3,0
6,4,0
6,5,0
6,6,0
6,7,0
6,8,0
6,9,0
6,10,1
6,11,1
7,1,34
7,2,54
7,3,77
7,4,112
7,5,141
7,6,169
7,7,206
7,8,246
7,9,265
7,10,300
7,11,321
9,1,6
9,2,12
9,3,19
9,4,21
9,5,28
9,6,37
9,7,46
9,8,52
9,9,59
9,10,64
9,11,74
12,1,1
12,2,1
12,3,1
12,4,2
12,5,2
12,6,2
12,7,2
12,8,2
12,9,2
12,10,2
12,11,2
13,1,167
13,2,292
13,3,398
13,4,519
13,5,628
13,6,732
13,7,860
13,8,1000
13,9,1155
13,10,1274
13,11,1420
14,1,3710
14,2,7500
14,3,9199
14,4,11770
14,5,14453
14,6,16835
14,7,19299
14,8,21842
14,9,24269
14,10,26732
14,11,29343
16,1,75
16,2,150
16,3,212
16,4,272
16,5,338
16,6,393
16,7,462
16,8,508
16,9,570
16,10,626
16,11,686
17,1,7
17,2,8
17,3,9
17,4,9
17,5,10
17,6,12
17,7,13
17,8,14
17,9,17
17,10,21
17,11,25
18,1,1654
18,2,2499
18,3,2499
18,4,5572
18,5,6924
18,6,8156
18,7,9375
18,8,10679
18,9,11883
18,10,13224
18,11,14613
19,1,6
19,2,13
19,3,22
19,4,28
19,5,35
19,6,37
19,7,48
19,8,55
19,9,60
19,10,68
19,11,76
20,1,2
20,2,4
20,3,8
20,4,9
20,5,12
20,6,12
20,7,12
20,8,12
20,9,14
20,10,14
20,11,15
21,1,29
21,2,47
21,3,73
21,4,94
21,5,122
21,6,151
21,7,175
21,8,201
21,9,222
21,10,253
21,11,280
22,1,187
22,2,354
22,3,522
22,4,661
22,5,807
22,6,936
22,7,1083
22,8,1224
22,9,1337
22,10,1494
22,11,1645
23,1,4
23,2,7
23,3,12
23,4,13
23,5,16
23,6,21
23,7,27
23,8,31
23,9,33
23,10,39
23,11,41
24,1,36
24,2,71
24,3,90
24,4,116
24,5,141
24,6,153
24,7,180
24,8,206
24,9,234
24,10,250
24,11,264
25,1,55
25,2,95
25,3,128
25,4,168
25,5,214
25,6,279
25,7,346
25,8,432
25,9,501
25,10,579
25,11,663
26,1,166
26,2,271
26,3,383
26,4,499
26,5,616
26,6,715
26,7,798
26,8,874
26,9,960
26,10,1038
26,11,1103
27,1,76
27,2,140
27,3,205
27,4,253
27,5,309
27,6,359
27,7,414
27,8,474
27,9,537
27,10,608
27,11,662
28,1,34
28,2,58
28,3,100
28,4,134
28,5,173
28,6,204
28,7,238
28,8,266
28,9,301
28,10,336
28,11,363
29,1,69
29,2,109
29,3,149
29,4,189
29,5,234
29,6,264
29,7,300
29,8,347
29,9,382
29,10,432
29,11,460
30,1,64
30,2,105
30,3,149
30,4,182
30,5,215
30,6,247
30,7,280
30,8,306
30,9,339
30,10,363
30,11,404
31,1,15
31,2,27
31,3,41
31,4,49
31,5,51
31,6,61
31,7,70
31,8,76
31,9,83
31,10,97
31,11,106
32,1,131
32,2,231
32,3,326
32,4,407
32,5,461
32,6,527
32,7,602
32,8,673
32,9,753
32,10,833
32,11,894
33,1,5
33,2,10
33,3,10
33,4,15
33,5,16
33,6,21
33,7,23
33,8,24
33,9,28
33,10,31
33,11,34
34,1,5
34,2,12
34,3,19
34,4,26
34,5,36
34,6,45
34,7,53
34,8,65
34,9,81
34,10,97
34,11,111
35,1,24
35,2,39
35,3,54
35,4,63
35,5,78
35,6,96
35,7,106
35,8,126
35,9,148
35,10,168
35,11,179
36,1,146
36,2,252
36,3,370
36,4,503
36,5,631
36,6,761
36,7,875
36,8,1006
36,9,1151
36,10,1318
36,11,1473
37,1,0
37,2,1
37,3,2
37,4,3
37,5,5
37,6,5
37,7,5
37,8,5
37,9,6
37,10,6
37,11,7
38,1,85
38,2,157
38,3,214
38,4,274
38,5,332
38,6,427
38,7,485
38,8,521
38,9,574
38,10,631
38,11,691
40,1,103
40,2,175
40,3,229
40,4,298
40,5,375
40,6,440
40,7,510
40,8,566
40,9,632
40,10,689
40,11,751
41,1,0
41,2,0
41,3,0
41,4,0
41,5,0
41,6,0
41,7,0
41,8,0
41,9,0
41,10,0
41,11,1
42,1,0
42,2,0
42,3,0
42,4,0
42,5,0
42,6,0
42,7,0
42,8,1
42,9,1
42,10,1
42,11,1
44,1,20
44,2,32
44,3,43
44,4,59
44,5,69
44,6,84
44,7,93
44,8,105
44,9,112
44,10,128
44,11,145
46,1,1
46,2,2
46,3,2
46,4,2
46,5,2
46,6,2
46,7,2
46,8,2
46,9,2
46,10,2
46,11,2
47,1,7
47,2,7
47,3,7
47,4,7
47,5,7
47,6,7
47,7,7
47,8,7
47,9,8
47,10,8
47,11,8
48,1,98
48,2,186
48,3,287
48,4,372
48,5,480
48,6,558
48,7,626
48,8,706
48,9,815
48,10,911
48,11,984
49,1,43
49,2,64
49,3,83
49,4,99
49,5,121
49,6,138
49,7,169
49,8,202
49,9,236
49,10,272
49,11,299
50,1,71
50,2,126
50,3,183
50,4,251
50,5,334
50,6,381
50,7,442
50,8,492
50,9,551
50,10,625
50,11,700
51,1,1002
51,2,1964
51,3,3091
51,4,4079
51,5,5033
51,6,5937
51,7,6768
51,8,7702
51,9,8583
51,10,9545
51,11,10513